epoch,train_loss,train_acc,video_acc,video_auc,video_eer,frame_acc,frame_auc,frame_eer
0,0.9170816076229293,0.7578560756972111,0.8331100478468899,0.8915337989893848,0.19435512683125858,0.8331100478468899,0.8915337989893848,0.19435512683125858
0,0.9201089176048796,0.7560258964143426,0.8340031897926635,0.8945363684012748,0.19176491604122584,0.8340031897926635,0.8945363684012748,0.19176491604122584
1,0.7210974170748456,0.860906374501992,0.8567145135566189,0.9402824510492018,0.13596784996693367,0.8567145135566189,0.9402824510492018,0.13596784996693367
2,0.6483560082090803,0.894086155378486,0.8574162679425837,0.9455258675693589,0.1306095110504852,0.8574162679425837,0.9455258675693589,0.1306095110504852
3,0.6135281241866222,0.9119895418326693,0.9003508771929825,0.9553250806171726,0.1088781707752768,0.9003508771929825,0.9553250806171726,0.1088781707752768
4,0.5937200659181018,0.9211030876494024,0.893652312599681,0.9534187508041376,0.11654387139896942,0.893652312599681,0.9534187508041376,0.11654387139896942
5,0.5591534865092471,0.9329432270916335,0.9025199362041467,0.9621205377386958,0.10225496762534914,0.9025199362041467,0.9621205377386958,0.10225496762534914
6,0.5495673513388729,0.9375124501992032,0.8879106858054227,0.9610654472569023,0.10727045373387467,0.8879106858054227,0.9610654472569023,0.10727045373387467
7,0.5403493350601766,0.940961155378486,0.8911004784688995,0.9611751948535825,0.1035191139692786,0.8911004784688995,0.9611751948535825,0.1035191139692786
8,0.5387230231348736,0.9422933266932271,0.8988197767145135,0.9638109817551177,0.1038178164771027,0.8988197767145135,0.9638109817551177,0.1038178164771027
9,0.5296800136209959,0.9455054780876494,0.901244019138756,0.9634830152158607,0.10337128823467101,0.901244019138756,0.9634830152158607,0.10337128823467101
10,0.5192130674166509,0.9478336653386454,0.8960127591706539,0.9642444782810434,0.10091538289795496,0.8960127591706539,0.9642444782810434,0.10091538289795496
11,0.5143014279138519,0.9506100597609561,0.8978628389154705,0.9641367347969219,0.10203170350601411,0.8978628389154705,0.9641367347969219,0.10203170350601411
12,0.509953616043011,0.951531374501992,0.8963317384370016,0.9566892531149094,0.11542755079234625,0.8963317384370016,0.9566892531149094,0.11542755079234625
13,0.5087164109327879,0.9521787848605577,0.8921212121212121,0.9621597026846174,0.10316184351547779,0.8921212121212121,0.9621597026846174,0.10316184351547779
14,0.5058935127054077,0.9539591633466136,0.8997129186602871,0.9652442512679352,0.10003572704537345,0.8997129186602871,0.9652442512679352,0.10003572704537345
15,0.5015661137037544,0.9557644422310757,0.8974800637958533,0.9639512397220932,0.10146480886030974,0.8974800637958533,0.9639512397220932,0.10146480886030974
